cqa,best_q_prec,best_q_fmeasure,best_q_rec
workshop_of_conference,0.0,0.0,0.0
pc_chair,1.0,1.0,1.0
tutorial,1.0,1.0,1.0
assigned_reviewer,0.8481272447408927,0.917823431426985,1.0
tutorial_of_conference,0.0,0.0,0.0
reviewers_all,1.0,1.0,1.0
invited_talk_abstract,1.0,1.0,1.0
conference_proceedings,1.0,1.0,1.0
abstract_of_invited_talk,0.0,0.0,0.0
conference_site,0.0,0.0,0.0
person_name,0.0,0.0,0.0
workshop,1.0,1.0,1.0
is_assigned_reviewer_of,0.0,0.0,0.0
late_registered_participant,0.0,0.0,0.0
topic,0.0,0.0,0.0
conference_site_url,0.0,0.0,0.0
external_reviewer,0.0,0.0,0.0
publisher,1.0,1.0,1.0
person,1.0,1.0,1.0
paper,1.0,1.0,1.0
workshop_topic,1.0,1.0,1.0
paper_title,1.0,0.7489255014326647,0.5986258230747209
paper_presentation,0.0,0.0,0.0
accepted_paper,1.0,1.0,1.0
regular_paper,1.0,1.0,1.0
early_registration,0.0,0.0,0.0
workshop_chair,1.0,1.0,1.0
invited_speaker_of_talk,0.0,0.0,0.0
rejected_paper,1.0,1.0,1.0
early_registered_participant,0.0,0.0,0.0
author,0.0,0.0,0.0
assigned_reviewer_author_of_review,0.0,0.0,0.0
review,1.0,1.0,1.0
conference_proceedings_name,0.0,0.0,0.0
conference_location,0.0,0.0,0.0
is_author_of_paper,0.0,0.0,0.0
conference_name,0.0,0.0,0.0
pc_member,0.8481272447408927,0.917823431426985,1.0
track,1.0,1.0,1.0
review_of_paper,0.0,0.0,0.0
chair_of_workshop,0.0,0.0,0.0
presentation_in_conference,0.0,0.0,0.0
presentation_of_paper,0.0,0.0,0.0
tutorial_topic,1.0,1.0,1.0
sc_member,1.0,1.0,1.0
oc_chair,1.0,1.0,1.0
conference,1.0,1.0,1.0
participant,0.9472703062583222,0.9729212253829321,1.0
proceedings_publisher,0.0,0.0,0.0
invite_reviewer,0.0,0.0,0.0
invited_speaker,1.0,1.0,1.0
all_reviewer_author_of_review,1.0,1.0,1.0
invited_talk,0.0,0.0,0.0
author_of_inv_talk_abstract,0.0,0.0,0.0
track_of_conference,0.0,0.0,0.0
global mean,0.46624590537709293,0.4646817016303557,0.46542956041954037

