pair,classical,recall oriented,precision oriented,overlap,query f-measure,not disjoint
cmt-conference,0.454545454545455,0.681818181818182,0.636363636363636,0.727272727272727,0.636113978708117,0.909090909090909
cmt-confOf,0.666666666666667,0.75,0.833333333333333,0.833333333333333,0.744047619047619,1
cmt-edas,0.555555555555556,0.722222222222222,0.722222222222222,0.888888888888889,0.792303005452137,1
cmt-ekaw,0.5,0.8125,0.75,1,0.878273409766473,1
conference-cmt,0.454545454545455,0.636363636363636,0.681818181818182,0.727272727272727,0.636113978708117,0.909090909090909
conference-confOf,0.615384615384615,0.730769230769231,0.730769230769231,0.769230769230769,0.677258027446228,0.846153846153846
conference-edas,0.615384615384615,0.769230769230769,0.692307692307692,0.923076923076923,0.833652458260511,1
conference-ekaw,0.6,0.825,0.75,0.95,0.87128956310904,0.95
confOf-cmt,0.666666666666667,0.833333333333333,0.75,0.833333333333333,0.744047619047619,1
confOf-conference,0.615384615384615,0.730769230769231,0.730769230769231,0.769230769230769,0.677258027446228,0.846153846153846
confOf-edas,0.461538461538462,0.692307692307692,0.692307692307692,0.769230769230769,0.734570572348282,1
confOf-ekaw,0.666666666666667,0.866666666666667,0.766666666666667,0.933333333333333,0.857235952960723,0.933333333333333
edas-cmt,0.555555555555556,0.722222222222222,0.722222222222222,0.888888888888889,0.792303005452137,1
edas-conference,0.615384615384615,0.692307692307692,0.769230769230769,0.923076923076923,0.833652458260511,1
edas-confOf,0.461538461538462,0.692307692307692,0.692307692307692,0.769230769230769,0.734570572348282,1
edas-ekaw,0.5,0.78125,0.6875,0.875,0.853662713592948,1
ekaw-cmt,0.5,0.75,0.8125,1,0.878273409766473,1
ekaw-conference,0.6,0.75,0.825,0.95,0.87128956310904,0.95
ekaw-confOf,0.666666666666667,0.766666666666667,0.866666666666667,0.933333333333333,0.857235952960724,0.933333333333333
ekaw-edas,0.5,0.6875,0.78125,0.875,0.853662713592948,1
,0.563574203574204,0.744661761849262,0.744661761849262,0.866936674436674,0.787840730069208,0.963857808857809
