pair,equiv,recall oriented, precision oriented,overlap,f-measure
cmt-conference,0.172413793103448,0.310344827586207,0.241379310344828,0.379310344827586,0.313202674290071
cmt-confOf,0.25,0.25,0.25,0.3125,0.277449518127581
cmt-edas,0.352941176470588,0.352941176470588,0.352941176470588,0.352941176470588,0.352941176470588
cmt-ekaw,0.130434782608696,0.217391304347826,0.173913043478261,0.217391304347826,0.185026173023403
conference-cmt,0.103448275862069,0.206896551724138,0.206896551724138,0.275862068965517,0.235105962454255
conference-confOf,0.166666666666667,0.3,0.233333333333333,0.3,0.253023919002545
conference-edas,0.214285714285714,0.285714285714286,0.25,0.321428571428571,0.28055310819715
conference-ekaw,0.160714285714286,0.321428571428571,0.241071428571429,0.339285714285714,0.250659709776878
confOf-cmt,0.25,0.25,0.25,0.3125,0.277449518127581
confOf-conference,0.2,0.333333333333333,0.266666666666667,0.333333333333333,0.286357252335878
confOf-edas,0.153846153846154,0.179487179487179,0.166666666666667,0.179487179487179,0.171078425618331
confOf-ekaw,0.161290322580645,0.354838709677419,0.258064516129032,0.354838709677419,0.282898903938243
edas-cmt,0.294117647058824,0.5,0.441176470588235,0.529411764705882,0.413787903258167
edas-conference,0.214285714285714,0.321428571428571,0.321428571428571,0.464285714285714,0.371965547874202
edas-confOf,0.153846153846154,0.192307692307692,0.192307692307692,0.205128205128205,0.190402097115916
edas-ekaw,0.307692307692308,0.384615384615385,0.346153846153846,0.384615384615385,0.366627209733728
ekaw-cmt,0.130434782608696,0.347826086956522,0.239130434782609,0.347826086956522,0.248619307669103
ekaw-conference,0.178571428571429,0.339285714285714,0.285714285714286,0.392857142857143,0.274773731711243
ekaw-confOf,0.193548387096774,0.370967741935484,0.306451612903226,0.387096774193548,0.315176051515165
ekaw-edas,0.307692307692308,0.384615384615385,0.346153846153846,0.384615384615385,0.366627209733728
,0.204811494999524,0.310171125795715,0.268472472670863,0.338735743009076,0.285686269998688
