cqa,best_q_prec,best_q_fmeasure,best_q_rec
reviewers_all,1.0,0.5723438334223171,0.40089753178758414
person_name,0.0,0.0,0.0
conference_chair,1.0,1.0,1.0
topic,0.0,0.0,0.0
person,1.0,1.0,1.0
paper,0.5,0.6666666666666666,1.0
paper_title,0.0,0.0,0.0
conference_start_date,0.0,0.0,0.0
accepted_paper,0.0,0.0,0.0
rejected_paper,0.0,0.0,0.0
author,1.0,1.0,1.0
topic_of_paper,0.0,0.0,0.0
review,1.0,1.0,1.0
member_of_conference,1.0,1.0,1.0
is_author_of_paper,0.0,0.0,0.0
conference_name,0.0,0.0,0.0
conference,1.0,1.0,1.0
global mean,0.4411764705882353,0.42582414706405786,0.4353469136345638

